la casa;dom;;basic, surrounding
el apartamento;byt;;basic, surrounding
el hotel;hotel;;basic, surrounding
el museo;múzeum;;basic, surrounding
la playa;pláž;;basic, surrounding
el bosque;les;;basic, surrounding
la montaña;vrch;;basic, surrounding
el parque;park;;basic, surrounding
el río;rieka;;basic, surrounding
el mar;more;;basic, surrounding
el lago;jazero;;basic, surrounding
el tiempo;počasie;;basic, surrounding
el sol ;slnko ;;basic, surrounding
la lluvia;dážď;;basic, surrounding
el nieve;sneh;;basic, surrounding
la tormenta;búrka;;basic, surrounding
