el tiempo;čas;;basic, time
el día ;deň ;;basic, time
la semana;týždeň;;basic, time
el mes;mesiac;;basic, time
el año ;rok ;;basic, time
lunes;Pondelok;;basic, time
martes;Utorok;;basic, time
miércoles;Streda;;basic, time
jueves;Štvrtok;;basic, time
viernes;Piatok;;basic, time
sábado ;Sobota ;;basic, time
domingo;Nedeľa;;basic, time
por la mañana;ráno;;basic, time
por la tarde;popoludnie;;basic, time
por la tarde;večer;;basic, time
por la noche;v noci;;basic, time
antes;skôr;;basic, time
más tarde;neskôr;;basic, time
a tiempo;v čase;;basic, time
con retraso;mešká;;basic, time
