trabajar;pracovať;;basic, verb
visitar;navštíviť;;basic, verb
quedarse;zostať;;basic, verb
necesitar;potrebovať;;basic, verb
comer;jesť;;basic, verb
preguntar;pýtať sa;;basic, verb
dar;dať;;basic, verb
ir;ísť;;basic, verb
tener ;mať ;;basic, verb
comprar;kúpiť;;basic, verb, shopping
poder;môcť;;basic, verb
aprender ;naučiť sa ;;basic, verb
hacer ;vyrobiť ;;basic, verb
tomar;vziať;;basic, verb
decir;povedať;;basic, verb
escribir;písať;;basic, verb
ver;vidieť;;basic, verb
ser;byť;;basic, verb
buscar;hľadať;;basic, verb
llamar por teléfono;telefonovať;;basic, verb
beber;piť;;basic, verb
saber;vedieť;;basic, verb
querer;chcieť;;basic, verb
pagar;platiť;;basic, verb
