talo;dom;;basic, surrounding
asunto;byt;;basic, surrounding
hotelli;hotel;;basic, surrounding
museo;múzeum;;basic, surrounding
ranta;pláž;;basic, surrounding
metsä;les;;basic, surrounding
vuori;vrch;;basic, surrounding
puisto;park;;basic, surrounding
joki;rieka;;basic, surrounding
meri;more;;basic, surrounding
järvi;jazero;;basic, surrounding
sää;počasie;;basic, surrounding
aurinko ;slnko ;;basic, surrounding
sade;dážď;;basic, surrounding
lumi;sneh;;basic, surrounding
ukkonen;búrka;;basic, surrounding
