työskennellä;pracovať;;basic, verb
käydä;navštíviť;;basic, verb
jäädä;zostať;;basic, verb
tarvita;potrebovať;;basic, verb
syödä;jesť;;basic, verb
kysyä;pýtať sa;;basic, verb
antaa;dať;;basic, verb
kävellä;ísť;;basic, verb
omistaa;mať ;;basic, verb
ostaa;kúpiť;;basic, verb, shopping
voida;môcť;;basic, verb
oppia ;naučiť sa ;;basic, verb
tehdä ;vyrobiť ;;basic, verb
ottaa;vziať;;basic, verb
sanoa;povedať;;basic, verb
kirjoittaa;písať;;basic, verb
nähdä;vidieť;;basic, verb
olla;byť;;basic, verb
etsiä;hľadať;;basic, verb
soittaa;telefonovať;;basic, verb
juoda;piť;;basic, verb
tietää;vedieť;;basic, verb
haluta;chcieť;;basic, verb
maksaa;platiť;;basic, verb
