bon(ne);dobré;;basic, adjective
mauvais(e);zlé;;basic, adjective
nouveau/nouvelle;nove;;basic, adjective
vieux/vieille;staré;;basic, adjective
jeune;mlade;;basic, adjective
grand(e);veľké;;basic, adjective
petit(e);male;;basic, adjective
beau/belle;krásne;;basic, adjective
pas cher/chère;lacné;;basic, adjective
cher/chère;drahé;;basic, adjective
sombre;tmavé;;basic, adjective
clair(e);svetlé;;basic, adjective
ensemble;spolu;;basic, adjective
séparé(e);oddelené;;basic, adjective
important(e);dôležité;;basic, adjective
fatigué(e);unavené;;basic, adjective
