la maison;dom;;basic, surrounding
l’appartement;byt;;basic, surrounding
l’hôtel;hotel;;basic, surrounding
le musée;múzeum;;basic, surrounding
la plage;pláž;;basic, surrounding
le forêt;les;;basic, surrounding
la montagne;vrch;;basic, surrounding
le parc;park;;basic, surrounding
la rivière;rieka;;basic, surrounding
la mer;more;;basic, surrounding
le lac;jazero;;basic, surrounding
le temps;počasie;;basic, surrounding
le soleil ;slnko ;;basic, surrounding
la pluie;dážď;;basic, surrounding
la neige;sneh;;basic, surrounding
l’orage;búrka;;basic, surrounding
