le temps;čas;;basic, time
le jour ;deň ;;basic, time
la semaine;týždeň;;basic, time
le mois;mesiac;;basic, time
l’année ;rok ;;basic, time
lundi;Pondelok;;basic, time
mardi;Utorok;;basic, time
mercredi;Streda;;basic, time
jeudi;Štvrtok;;basic, time
vendredi;Piatok;;basic, time
samedi ;Sobota ;;basic, time
dimanche;Nedeľa;;basic, time
le matin;ráno;;basic, time
l'après-midi;popoludnie;;basic, time
le soir;večer;;basic, time
la nuit;v noci;;basic, time
plus tôt;skôr;;basic, time
plus tard;neskôr;;basic, time
à l'heure;v čase;;basic, time
en retard;mešká;;basic, time
