travailler;pracovať;;basic, verb
visiter;navštíviť;;basic, verb
rester;zostať;;basic, verb
avoir besoin de;potrebovať;;basic, verb
manger;jesť;;basic, verb
demander;pýtať sa;;basic, verb
donner;dať;;basic, verb
aller;ísť;;basic, verb
avoir ;mať ;;basic, verb
acheter;kúpiť;;basic, verb, shopping
pouvoir;môcť;;basic, verb
apprendre ;naučiť sa ;;basic, verb
faire ;vyrobiť ;;basic, verb
prendre;vziať;;basic, verb
dire;povedať;;basic, verb
écrire;písať;;basic, verb
voir;vidieť;;basic, verb
être;byť;;basic, verb
chercher;hľadať;;basic, verb
téléphoner;telefonovať;;basic, verb
boire;piť;;basic, verb
savoir;vedieť;;basic, verb
vouloir;chcieť;;basic, verb
payer;platiť;;basic, verb
