食べ物;potraviny;;basic, food
レストラン;reštaurácia;;basic, food
カフェ;kaviareň;;basic, food
バー;bar;;basic, food
メニュー;menu;;basic, food
前菜;predjedlo;;basic, food
メイン料理;hlavné jedlo;;basic, food
デザート;dezert;;basic, food
請求書;účet;;basic, food
ベジタリアン;vegetariánske;;basic, food
ビーガン;vegánske;;basic, food
グルテンフリー;bezlepkové;;basic, food
魚;ryba;;basic, food
お肉;mäso;;basic, food
サラダ;šalát;;basic, food
牛乳;mlieko;;basic, food
チーズ;syr;;basic, food
果物;ovocie;;basic, food
野菜;zelenina;;basic, food
ナッツ;orechy;;basic, food
コーヒー;káva;;basic, food
お茶;čaj ;;basic, food
水;voda;;basic, food
ワイン;víno;;basic, food
ビール;pivo ;;basic, food
ノンアルコール;nealkoholické;;basic, food
乾杯！;Na zdravie!;;basic, food
