働く;pracovať;;basic, verb
訪れる;navštíviť;;basic, verb
留まる;zostať;;basic, verb
必要;potrebovať;;basic, verb
食べる;jesť;;basic, verb
訪ねる;pýtať sa;;basic, verb
あげる;dať;;basic, verb
行く;ísť;;basic, verb
持っている;mať ;;basic, verb
買う;kúpiť;;basic, verb, shopping
できる;môcť;;basic, verb
習う;naučiť sa ;;basic, verb
作る;vyrobiť ;;basic, verb
取る;vziať;;basic, verb
言う;povedať;;basic, verb
書く;písať;;basic, verb
見る;vidieť;;basic, verb
となる;byť;;basic, verb
探す;hľadať;;basic, verb
電話する;telefonovať;;basic, verb
飲む;piť;;basic, verb
知る;vedieť;;basic, verb
したい;chcieť;;basic, verb
払う;platiť;;basic, verb
