음식;potraviny;;basic, food
식당;reštaurácia;;basic, food
카페;kaviareň;;basic, food
바;bar;;basic, food
메뉴;menu;;basic, food
전채 요리;predjedlo;;basic, food
주 요리;hlavné jedlo;;basic, food
디저트;dezert;;basic, food
계산서;účet;;basic, food
채식;vegetariánske;;basic, food
비건;vegánske;;basic, food
글루텐 없는;bezlepkové;;basic, food
생선;ryba;;basic, food
고기;mäso;;basic, food
샐러드;šalát;;basic, food
우유;mlieko;;basic, food
치즈;syr;;basic, food
과일;ovocie;;basic, food
야채;zelenina;;basic, food
견과류;orechy;;basic, food
커피;káva;;basic, food
차;čaj ;;basic, food
물;voda;;basic, food
와인;víno;;basic, food
맥주;pivo ;;basic, food
무알콜;nealkoholické;;basic, food
건배;Na zdravie!;;basic, food
